LastModifiedTime                   Size(B)  StorageClass   ETAG                                  ObjectName
2017-06-14 14:08:13 +0800 CST       225042      Standard   DFFC4B16B3152B881D2E32B29410CC57      oss://ubibi-photos/luan/20170614003/-21256e40192d81a7(1).jpg
2017-06-14 14:08:13 +0800 CST        79663      Standard   BD3D5BE38D5A8EFBB673BCFA866C15EC      oss://ubibi-photos/luan/20170614003/-41647871e8f432fd.jpg
2017-06-14 14:08:13 +0800 CST        63261      Standard   456A2120F81504618535696A059FBD35      oss://ubibi-photos/luan/20170614003/-b3e1cacf67fe559.jpg
2017-06-14 14:08:13 +0800 CST        78024      Standard   39402FC0192BB930C851E7296FE8130F      oss://ubibi-photos/luan/20170614003/-e8aefcca3861117.jpg
2017-06-14 14:08:13 +0800 CST        64426      Standard   1B3A3BD211331B61145CB2025951A8E5      oss://ubibi-photos/luan/20170614003/2404c769cda0b0ee.jpg
2017-06-14 14:08:13 +0800 CST        64369      Standard   6AC473B7C1BB1008918024A71E446B8E      oss://ubibi-photos/luan/20170614003/4115ce57d38fefed.jpg
2017-06-14 14:08:13 +0800 CST       104321      Standard   55BB29E2FA3F248C9E3603ADE729F8FA      oss://ubibi-photos/luan/20170614003/55e41b181d6459b2.jpg
2017-06-14 14:08:13 +0800 CST        44890      Standard   66FBB52BB954C9777A416047CB53259A      oss://ubibi-photos/luan/20170614003/75aab8dbe86a7b8c.jpg
2017-06-14 14:08:13 +0800 CST        61397      Standard   EE453F9AA870F30A6ACB0FC999BE78F4      oss://ubibi-photos/luan/20170614003/911dca099df0797.jpg
2017-06-14 14:08:13 +0800 CST      5200023      Standard   C8972314D79561E51665D8A19D52E377      oss://ubibi-photos/luan/20170614003/DPP_0060.JPG
2017-06-14 14:08:13 +0800 CST      2155266      Standard   33E74B92504FC1E90C4D12196D327AB2      oss://ubibi-photos/luan/20170614003/MTXX_20170408144608.jpg
2017-06-14 14:08:13 +0800 CST      2069769      Standard   E56AB05C26519D89C201FB5AA1499CBC      oss://ubibi-photos/luan/20170614003/MTXX_20170408144640.jpg
2017-06-14 14:08:13 +0800 CST      2339689      Standard   CC5B50B978990632A57C25431BFFFD96      oss://ubibi-photos/luan/20170614003/MYXJ_20170219155544_fast.jpg
2017-06-14 14:08:13 +0800 CST      1650473      Standard   F13FDE085689FED6DD02435F30CD9C15      oss://ubibi-photos/luan/20170614003/MYXJ_20170512100755_fast.jpg
2017-06-14 14:08:13 +0800 CST      1518686      Standard   579B077BA07CB8673E0AC2B52F3870B1      oss://ubibi-photos/luan/20170614003/MYXJ_20170512100840_fast.jpg
2017-06-14 14:08:13 +0800 CST       896357      Standard   C73BE3ABC24FEE86E80E1CB417A2F256      oss://ubibi-photos/luan/20170614003/MYXJ_20170529085649_fast.jpg
2017-06-14 14:08:13 +0800 CST       827390      Standard   0BD6F5F2D7CF67FD6E5561064379627B      oss://ubibi-photos/luan/20170614003/MYXJ_20170601174533_fast.jpg
2017-06-14 14:08:13 +0800 CST       878013      Standard   A5F5E5698ED000DBEEDE216598BA4814      oss://ubibi-photos/luan/20170614003/MYXJ_20170601174618_fast.jpg
2017-06-14 14:08:14 +0800 CST      7731183      Standard   B5B32E6DEEEFAA0E6796E5C6CA139BEE      oss://ubibi-photos/luan/20170614003/P70212-162818.jpg
