LastModifiedTime                   Size(B)  StorageClass   ETAG                                  ObjectName
2017-07-13 20:53:45 +0800 CST       268502      Standard   7352C5238AD4CF5A47404D7A0162F28E      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1460973322990.jpg
2017-07-13 20:53:45 +0800 CST       154736      Standard   E9C7717B495B558420CD2DEE5D2054EE      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1460973383864.jpg
2017-07-13 20:53:45 +0800 CST       145167      Standard   49BF23F27F29EB19070ABEA726A588D1      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1460973390237.jpg
2017-07-13 20:53:45 +0800 CST       244118      Standard   71319C6A3B08855F1C4F6326B21EB947      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1460973399656.jpg
2017-07-13 20:53:45 +0800 CST       157472      Standard   03FF945A9AB79EEEE23993A5248C2CBF      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055739936.jpg
2017-07-13 20:53:45 +0800 CST       234879      Standard   F3DEF2EE1C53A469EB3F7987C15DF580      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055745425.jpg
2017-07-13 20:53:45 +0800 CST       236586      Standard   B9D2EF55F0A6633062874F5BDE5A8256      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055793060.jpg
2017-07-13 20:53:45 +0800 CST       191601      Standard   45B38777ABC078F8FD14F6EBB34097A0      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055816595.jpg
2017-07-13 20:53:45 +0800 CST       148649      Standard   562E0DCDDBEA73D5C2DAA26F74B0F6D2      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055822420.jpg
2017-07-13 20:53:45 +0800 CST       126119      Standard   23BA9A1F7F32A19EDC31657829915863      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461055827320.jpg
2017-07-13 20:53:45 +0800 CST       143406      Standard   873DA9FF8F0258D2A92BD887E0635680      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461085680601.jpg
2017-07-13 20:53:45 +0800 CST       142996      Standard   18FB88379DAA2D08A0C608D292B65FDC      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461085685877.jpg
2017-07-13 20:53:45 +0800 CST       144014      Standard   C920D619AE2D5DDF4245D6AEABA3AAEB      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461085692082.jpg
2017-07-13 20:53:45 +0800 CST       132085      Standard   59FAEFDF311C24B0BEAA0534F891AC14      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461085696670.jpg
2017-07-13 20:53:45 +0800 CST       107059      Standard   320297DD0CEDE0B9DB186589DCD4460B      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461112391006.jpg
2017-07-13 20:53:45 +0800 CST       200987      Standard   069F54FAC8E5E50F4C7BE7CC8FFC1A73      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461112453517.jpg
2017-07-13 20:53:45 +0800 CST       153348      Standard   5268B1F38D27FA524D731D78B21B0485      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461112456547.jpg
2017-07-13 20:53:45 +0800 CST       214234      Standard   38DE9FF039D1DA398EFCEB254A0B76BD      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461112466043.jpg
2017-07-13 20:53:45 +0800 CST       145201      Standard   71FDB5B97F4CD105F20B0EF57859FEBD      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461147626855.jpg
