LastModifiedTime                   Size(B)  StorageClass   ETAG                                  ObjectName
2017-06-14 14:08:01 +0800 CST      9714083      Standard   E66BCB8901E8956FD592AEB042BC2AC1      oss://ubibi-photos/luan/20170614004/IMG_3030.JPG
2017-06-14 14:08:01 +0800 CST     13236012      Standard   EDB2B313125B54B8591635B03E21FCA8      oss://ubibi-photos/luan/20170614004/IMG_3037.JPG
2017-06-14 14:08:01 +0800 CST     13839792      Standard   89D0798E016650A47E9684E3131F87FB      oss://ubibi-photos/luan/20170614004/IMG_3040.JPG
2017-06-14 14:08:01 +0800 CST     13622454      Standard   EB6E50DD89BDE690380C76EA66EC9AC3      oss://ubibi-photos/luan/20170614004/IMG_3044.JPG
2017-06-14 14:08:00 +0800 CST      9754608      Standard   F39F542C5C31C0F722D36965452D9F32      oss://ubibi-photos/luan/20170614004/IMG_3047.JPG
2017-06-14 14:08:01 +0800 CST     12906728      Standard   65F3C4ECD29C5BA5FFF344555DFFEEA9      oss://ubibi-photos/luan/20170614004/IMG_3051.JPG
2017-06-14 14:08:01 +0800 CST     10660745      Standard   BD6C29B68DD84362824EF29E3FA63474      oss://ubibi-photos/luan/20170614004/IMG_3055.JPG
2017-06-14 14:08:01 +0800 CST     10889234      Standard   D7FF6A0D9B759E3F1D0D472FE68FBFD5      oss://ubibi-photos/luan/20170614004/IMG_3059.JPG
2017-06-14 14:08:01 +0800 CST     13551906      Standard   2E968E042DA066DF8F63960EF7B6E7E3      oss://ubibi-photos/luan/20170614004/IMG_3062.JPG
2017-06-14 14:08:01 +0800 CST     12162525      Standard   990B83D50635AEB06AA48AD785B9523C      oss://ubibi-photos/luan/20170614004/IMG_3064.JPG
2017-06-14 14:08:01 +0800 CST     10113436      Standard   AE8E172C1E0B052FB7BB3A24331D1AAD      oss://ubibi-photos/luan/20170614004/IMG_3074.JPG
2017-06-14 14:08:01 +0800 CST     10284312      Standard   1795AA604A816682A2FBB79DEE0229AE      oss://ubibi-photos/luan/20170614004/IMG_3089.JPG
2017-06-14 14:08:01 +0800 CST      8793352      Standard   67F511AA9F8C8B6555DC67D75FBCE7CA      oss://ubibi-photos/luan/20170614004/IMG_3095.JPG
2017-06-14 14:08:02 +0800 CST      9356131      Standard   C0385A1EBB54981A5C82E028D177A548      oss://ubibi-photos/luan/20170614004/IMG_3098.JPG
2017-06-14 14:08:02 +0800 CST     10141125      Standard   D9FDC0A8376F583EEC50F1790F4C618A      oss://ubibi-photos/luan/20170614004/IMG_3099.JPG
2017-06-14 14:08:02 +0800 CST      6842057      Standard   5ADE944BDD80657732D0EFEE4DCD0C2C      oss://ubibi-photos/luan/20170614004/IMG_3102.JPG
2017-06-14 14:08:02 +0800 CST      8226934      Standard   69248B8BF15DBE63536941E42BB76A5C      oss://ubibi-photos/luan/20170614004/IMG_3111.JPG
2017-06-14 14:08:02 +0800 CST      3838068      Standard   FF391207DE820B250A13981C2F13DABD      oss://ubibi-photos/luan/20170614004/IMG_3112.JPG
2017-06-14 14:08:02 +0800 CST      2091787      Standard   08A6CC04E9FCDB692364C6EFD4470B5F      oss://ubibi-photos/luan/20170614004/IMG_3115.JPG
Object Number is: 19
0.035689(s) elapsed
