LastModifiedTime                   Size(B)  StorageClass   ETAG                                  ObjectName
2017-06-14 14:08:26 +0800 CST        10244      Standard   DA042E5E268983696E56AA151AB2677A      oss://ubibi-photos/luan/20170614002/.DS_Store
2017-06-14 14:08:26 +0800 CST        48889      Standard   8417CD07572E7FDBDB7E9C04E5CA147C      oss://ubibi-photos/luan/20170614002/1471649346656.jpg
2017-06-14 14:08:26 +0800 CST        46689      Standard   01D5341961FF8D06B23C9276BAF0A51F      oss://ubibi-photos/luan/20170614002/1471649352617.jpg
2017-06-14 14:08:26 +0800 CST        63955      Standard   FF374B888417012EEB64C79CA103E6F9      oss://ubibi-photos/luan/20170614002/1471649356825.jpg
2017-06-14 14:08:26 +0800 CST        34968      Standard   B3D036D3027A96C68BDF1CDA5752983A      oss://ubibi-photos/luan/20170614002/1471649362809.jpg
2017-06-14 14:08:26 +0800 CST      2345798      Standard   0FECE354F858C6A7FE63F54828997C19      oss://ubibi-photos/luan/20170614002/1484803474743.mp4
2017-06-14 14:08:26 +0800 CST      6390803      Standard   3C046B5B3BDAE578695C4C15EE4D3ACE      oss://ubibi-photos/luan/20170614002/1485663303060.mp4
2017-06-14 14:08:26 +0800 CST       771817      Standard   B6B72A916526ADB34B0AC6408E2A75C8      oss://ubibi-photos/luan/20170614002/1487047817058.mp4
2017-06-14 14:08:26 +0800 CST      1611696      Standard   7BDCE02EB67472CAD6C89BA524C5F795      oss://ubibi-photos/luan/20170614002/1491575146681.mp4
2017-06-14 14:08:26 +0800 CST      1664024      Standard   CE38CEAA5F9D3CF881201BA9B77575CD      oss://ubibi-photos/luan/20170614002/1491575165157.mp4
2017-06-14 14:08:26 +0800 CST      1664024      Standard   CE38CEAA5F9D3CF881201BA9B77575CD      oss://ubibi-photos/luan/20170614002/1491575471001.mp4
2017-06-14 14:08:26 +0800 CST       777983      Standard   17AF0C0F7A142385E9B08141624BA3A7      oss://ubibi-photos/luan/20170614002/1491575477974.mp4
2017-06-14 14:08:26 +0800 CST       347389      Standard   D99FACD335F8C39D257F0687FB7BCD69      oss://ubibi-photos/luan/20170614002/1495607721965.mp4
2017-06-14 14:08:26 +0800 CST       115998      Standard   64C149268ED62016CEAE9387F6F9BBAE      oss://ubibi-photos/luan/20170614002/IMG-20161203-WA0000.jpg
2017-06-14 14:08:26 +0800 CST        45502      Standard   28DD596718761E8DF1471332C40A3630      oss://ubibi-photos/luan/20170614002/mmexport1497341504179.jpg
2017-06-14 14:08:27 +0800 CST      2078256      Standard   2946F5EF7F0098A390D0A6F349FBFF80      oss://ubibi-photos/luan/20170614002/wx_camera_1484821226773.mp4
2017-06-14 14:08:27 +0800 CST      1609173      Standard   A80CD266E9F0C08B8DE96C683F8E6515      oss://ubibi-photos/luan/20170614002/wx_camera_1484875584689.mp4
2017-06-14 14:08:26 +0800 CST       643958      Standard   11EAF20A20C32B759F3D55F438A1C724      oss://ubibi-photos/luan/20170614002/wx_camera_1489052766286.mp4
2017-06-14 14:08:27 +0800 CST       684509      Standard   19C45140712955AE79C4EDC58825F36C      oss://ubibi-photos/luan/20170614002/wx_camera_1489059551949.mp4
2017-06-14 14:08:27 +0800 CST       539170      Standard   30232B8FE815DCEBBCF4A39E588F212F      oss://ubibi-photos/luan/20170614002/wx_camera_1491113928669.mp4
2017-06-14 14:08:27 +0800 CST      1580764      Standard   CD1BBD623F2418BE6E397CB21C67DB9F      oss://ubibi-photos/luan/20170614002/wx_camera_1494041534871.mp4
2017-06-14 14:08:27 +0800 CST      1195547      Standard   94AF6E88214045CC87B34098D1A45824      oss://ubibi-photos/luan/20170614002/wx_camera_1494052198639.mp4
2017-06-14 14:08:27 +0800 CST       484317      Standard   871C15C03B4D3447C3FBAA6F7D5D446D      oss://ubibi-photos/luan/20170614002/wx_camera_1497255769313.jpg
2017-06-14 14:08:27 +0800 CST       269656      Standard   750AD08D485FD216C27E3FF502A0F145      oss://ubibi-photos/luan/20170614002/wx_camera_1497256111558.jpg
2017-06-14 14:08:27 +0800 CST       732065      Standard   B42E4445F889B6F44F43216EF96B432F      oss://ubibi-photos/luan/20170614002/wx_camera_1497256452912.jpg
2017-06-14 14:08:27 +0800 CST       490934      Standard   D647D7979F94D91DB9594B48F9F1951A      oss://ubibi-photos/luan/20170614002/截屏_20170515_102751.png
Object Number is: 26
0.054841(s) elapsed
